zhAddress,zhLink,zhName,zhNum,zhTime,zhType
上海,position_detail.php?id=47370&keywords=&tid=0&lid=0,29777-金融云资管行业售前架构师（北上深）（上海）,1,2019-01-30,技术类
深圳,position_detail.php?id=47371&keywords=&tid=0&lid=0,29777-金融资管行业产品经理（北上深）（深圳总部）,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47372&keywords=&tid=0&lid=0,29777-金融资管行业产品经理（北上深）（北京）,1,2019-01-30,产品/项目类
上海,position_detail.php?id=47373&keywords=&tid=0&lid=0,29777-金融资管行业产品经理（北上深）（上海）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47374&keywords=&tid=0&lid=0,18436-NLP算法研究员（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47375&keywords=&tid=0&lid=0,29923-用户研究员,1,2019-01-30,设计类
北京,position_detail.php?id=47364&keywords=&tid=0&lid=0,CSIG07-解决方案架构师（北京/深圳）（北京）,2,2019-01-30,技术类
深圳,position_detail.php?id=47365&keywords=&tid=0&lid=0,CSIG07-解决方案架构师（北京/深圳）（深圳总部）,3,2019-01-30,技术类
广州,position_detail.php?id=47087&keywords=&tid=0&lid=0,WXG08-511 微信事业群部门秘书（广州）,1,2019-01-30,职能类
深圳,position_detail.php?id=47088&keywords=&tid=0&lid=0,WXG08-511 微信事业群部门秘书（深圳）,1,2019-01-30,职能类
深圳,position_detail.php?id=47077&keywords=&tid=0&lid=0,25666-华南区域泛互联网行业销售（深圳）,5,2019-01-30,市场类
